Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 5, Percentual: 31
Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 5, Percentual: 31
Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 5, Percentual: 31
Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 5, Percentual: 31
Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 5, Percentual: 31
Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 5, Percentual: 31
Total: 16, Certas: 4, Percentual: 25
Total: 16, Certas: 5, Percentual: 31
Total: 16, Certas: 0, Percentual: 0
Total: 16, Certas: 0, Percentual: 0
Total: 17, Certas: 4, Percentual: 24
Total: 17, Certas: 5, Percentual: 29
Total: 17, Certas: 7, Percentual: 41
Total: 17, Certas: 13, Percentual: 76
Total: 17, Certas: 8, Percentual: 47
Total: 17, Certas: 12, Percentual: 71
Total: 16, Certas: 0, Percentual: 27 
Total: 21, Certas: 20, Percentual: 95
Total: 21, Certas: 0, Percentual: 70
Total: 21, Certas: 21, Percentual: 100
Total: 21, Certas: 21, Percentual: 100
Total: 21, Certas: 5, Percentual: 24
